vehicle_type,vehicle_make,vehicle_model,vehicle_year,vehicle_age,vehicle_condition,vehicle_price,engine_type,age,gender,occupation,region,driving_experience,claims_history,policy_tenure,policy_type,claim_id,claim_date,claim_amount,claim_reason,damage_type,reported_delay,police_report,repair_estimate,actual_repair_cost,submission_channel,payment_channel,customer_contacted,agent_id,agent_city,fraud_reported,net_premium
Convertible,Honda,Civic,2010,15,Used,7848.69,Petrol,30,Male,Lawyer,Central,45,1,43,Comprehensive,C100010,2020-09-30 19:18:38,2621.68,Vandalism,Total Loss,3,1,6815.92,3185.07,Online,Cash,1,A792,South,0,633.17
Convertible,BMW,X5,2000,25,New,23814.82,Diesel,25,Female,Lawyer,South,10,0,9,Third-party,C100011,2018-09-02 06:29:56,5042.52,Vandalism,Total Loss,1,1,1465.22,4071.05,Phone,Cash,1,A858,Central,0,1444.52
Sedan,Hyundai,Sonata,2001,24,Used,25555.6,Petrol,22,Female,Unemployed,South,3,1,2,Third-party,C100012,2023-08-03 03:05:38,0.0,Accident,Minor,4,1,4691.24,2456.31,In-Person,Cash,0,A658,North,0,1365.89
Sedan,Mercedes,E-Class,2000,25,Used,17252.77,Electric,60,Male,Teacher,Central,9,2,5,Third-party,C100013,2018-07-05 07:11:56,1769.96,Theft,Minor,3,1,2160.75,5269.69,In-Person,Check,1,A189,North,0,1486.75
Truck,Ford,Escape,2018,7,Used,28316.88,Petrol,73,Female,Doctor,East,33,3,32,Collision,C100014,2022-12-01 00:35:01,6800.48,Theft,Total Loss,1,0,3349.62,4580.75,Phone,Check,1,A704,West,0,2310.81
Truck,Honda,Accord,2001,24,Used,13184.66,Petrol,69,Female,Teacher,West,56,2,56,Collision,C100015,2019-03-29 10:31:26,2094.34,Fire,Minor,4,1,6839.16,2412.86,Online,Cash,1,A532,South,0,996.08
Convertible,Hyundai,Elantra,2020,5,Used,30324.68,Electric,23,Female,Unemployed,Central,3,2,2,Third-party,C100016,2023-12-06 03:10:45,4181.5,Vandalism,Major,0,1,1682.47,5130.09,Online,Check,1,A132,West,0,1650.09
Convertible,Hyundai,Elantra,2019,6,New,21058.53,Petrol,24,Female,Engineer,South,51,3,50,Collision,C100017,2019-04-01 07:51:02,4147.52,Vandalism,Total Loss,3,0,4092.06,3158.28,In-Person,Bank Transfer,1,A130,North,0,1404.71
Sedan,Ford,F-150,2022,3,Used,16030.64,Diesel,71,Male,Lawyer,West,9,0,9,Collision,C100018,2018-11-22 01:29:36,8157.06,Fire,Minor,1,1,4188.43,5068.19,Phone,Bank Transfer,1,A195,Central,0,1069.3
Van,Honda,Accord,2020,5,Used,17452.41,Hybrid,39,Male,Unemployed,South,32,2,29,Third-party,C100019,2022-01-23 17:02:09,7042.58,Accident,Minor,3,1,8840.72,3596.98,Online,Cash,1,A323,East,0,1629.58
Van,Mercedes,C-Class,2003,22,Damaged,27994.28,Hybrid,73,Male,Teacher,North,45,1,43,Comprehensive,C100020,2021-03-31 13:32:00,12151.26,Fire,Minor,1,1,2192.82,4176.15,Online,Bank Transfer,0,A338,West,0,2191.5
Coupe,Toyota,Corolla,2011,14,Used,21897.94,Diesel,47,Female,Engineer,West,17,0,17,Comprehensive,C100021,2021-05-17 16:19:43,2351.46,Theft,Minor,3,1,3768.68,1623.87,Phone,Cash,1,A617,West,0,1161.98
Sedan,Honda,Accord,2021,4,Used,25160.54,Diesel,32,Male,Driver,Central,11,4,8,Collision,C100022,2018-07-06 18:15:56,5398.62,Fire,Minor,2,1,4599.92,3538.9,In-Person,Bank Transfer,1,A716,North,0,2292.28
Truck,Ford,Focus,2019,6,Used,28597.35,Hybrid,54,Male,Lawyer,Central,50,0,50,Comprehensive,C100023,2023-10-16 14:55:43,4114.52,Accident,Total Loss,4,1,5299.29,7354.05,In-Person,Cash,1,A127,Central,0,1592.27
Truck,Hyundai,Tucson,2017,8,Used,15792.18,Diesel,73,Male,Unemployed,East,22,2,22,Third-party,C100024,2021-09-29 17:22:09,2478.76,Fire,Minor,2,1,3547.15,6895.81,Online,Bank Transfer,1,A674,South,0,1479.21
Van,Mercedes,C-Class,2000,25,Used,21018.39,Petrol,58,Male,Doctor,West,43,2,39,Third-party,C100025,2022-03-14 04:36:15,5997.18,Accident,Total Loss,2,1,8199.73,4492.64,Online,Bank Transfer,1,A303,South,0,1938.38
Convertible,Honda,Accord,2000,25,Used,18204.35,Hybrid,37,Male,Doctor,East,24,1,22,Collision,C100026,2021-12-08 00:57:12,4560.94,Accident,Minor,2,0,7566.5,2691.86,In-Person,Check,0,A833,East,1,1323.19
Sedan,Toyota,Corolla,2013,12,Used,28136.46,Hybrid,48,Male,Doctor,Central,36,3,34,Collision,C100027,2019-03-18 01:30:13,4232.29,Theft,Minor,3,0,2229.86,3570.15,Online,Bank Transfer,1,A765,South,0,1181.03
Coupe,Toyota,Corolla,2003,22,Used,16940.36,Hybrid,68,Male,Engineer,East,3,1,0,Third-party,C100028,2018-10-03 21:23:19,4670.01,Accident,Minor,3,0,3420.46,4859.49,Phone,Check,1,A818,East,0,923.4
Coupe,BMW,X3,2004,21,Used,20382.65,Diesel,22,Female,Teacher,West,12,3,10,Collision,C100029,2021-01-09 00:01:38,4318.42,Theft,Minor,1,0,4082.42,2733.02,Phone,Cash,1,A658,East,1,1265.79
Convertible,BMW,X3,2010,15,Used,38365.8,Petrol,62,Female,Lawyer,Central,17,4,15,Third-party,C100030,2023-06-09 21:01:55,11459.07,Accident,Minor,4,0,5461.56,1890.13,Online,Cash,1,A529,West,0,1752.75
Truck,Ford,Escape,2022,3,New,30280.93,Hybrid,29,Male,Lawyer,South,28,2,27,Third-party,C100031,2019-10-13 02:46:02,7130.72,Vandalism,Minor,1,1,1849.5,3090.9,Online,Cash,0,A325,North,0,1497.33
Van,Honda,CR-V,2012,13,New,11718.18,Diesel,54,Female,Unemployed,Central,43,2,43,Collision,C100032,2020-05-22 23:04:10,4580.5,Accident,Minor,2,1,9124.47,500.0,Phone,Bank Transfer,0,A559,South,0,1084.76
Convertible,Honda,CR-V,2015,10,Used,27215.81,Hybrid,47,Male,Lawyer,East,29,2,27,Comprehensive,C100033,2018-03-13 12:29:08,6374.95,Theft,Major,4,1,5846.95,5605.4,Online,Bank Transfer,1,A703,East,0,1618.82
Truck,Hyundai,Elantra,2012,13,Used,25510.15,Diesel,56,Female,Lawyer,East,47,0,44,Comprehensive,C100034,2019-11-24 23:35:00,482.46,Theft,Minor,3,1,2461.34,500.0,In-Person,Cash,1,A384,West,0,1961.32
Truck,Hyundai,Sonata,2021,4,Damaged,11194.91,Electric,20,Male,Driver,Central,54,1,50,Comprehensive,C100035,2019-05-10 11:18:13,4629.88,Fire,Major,3,1,3800.55,3449.96,Phone,Cash,1,A928,West,0,871.16
Coupe,Hyundai,Elantra,2001,24,Used,19119.55,Petrol,30,Male,Unemployed,North,37,2,35,Third-party,C100036,2020-10-04 03:43:10,5692.48,Accident,Minor,4,1,3211.3,1314.92,Online,Check,1,A990,North,0,1152.7
Truck,BMW,3 Series,2015,10,Used,12418.38,Hybrid,28,Male,Lawyer,North,27,2,24,Comprehensive,C100037,2019-04-30 21:05:48,1961.65,Theft,Minor,5,0,2544.11,1366.05,Phone,Check,1,A106,West,0,1225.98
Convertible,Honda,Civic,2005,20,Used,3000.0,Petrol,27,Female,Driver,North,6,2,6,Third-party,C100038,2021-01-19 22:48:59,5582.28,Fire,Major,4,0,5083.26,4341.86,Phone,Check,1,A877,Central,0,511.04
SUV,Honda,CR-V,2013,12,Used,18832.23,Hybrid,47,Female,Teacher,South,23,1,23,Comprehensive,C100039,2022-06-02 21:23:05,2868.18,Vandalism,Minor,4,1,4907.4,2221.01,Phone,Cash,1,A925,Central,0,901.56
Van,Toyota,RAV4,2000,25,Used,15951.28,Petrol,26,Male,Doctor,South,40,2,40,Collision,C100040,2019-08-24 20:18:49,5148.59,Vandalism,Major,0,1,3911.86,6321.49,Phone,Cash,0,A263,East,0,988.28
Truck,BMW,X3,2016,9,Used,11192.78,Electric,47,Female,Driver,South,9,2,7,Third-party,C100041,2021-03-28 02:15:10,6007.18,Accident,Minor,2,1,7499.23,5621.93,Online,Bank Transfer,1,A814,North,0,699.9
Convertible,Mercedes,GLA,2010,15,Damaged,19923.31,Petrol,46,Male,Doctor,Central,36,1,35,Collision,C100042,2023-01-26 11:51:23,3729.77,Accident,Minor,2,1,5399.1,5861.08,In-Person,Cash,1,A532,South,0,1742.48
Coupe,BMW,X3,2018,7,Used,3035.1,Electric,55,Female,Doctor,Central,26,0,24,Third-party,C100043,2021-08-28 10:52:51,1608.92,Accident,Minor,3,1,4518.61,5727.3,Phone,Bank Transfer,0,A448,West,0,537.79
Sedan,Mercedes,GLA,2002,23,Used,20330.2,Hybrid,63,Male,Engineer,West,20,4,19,Collision,C100044,2020-08-10 02:43:16,2883.24,Fire,Minor,0,1,4539.72,1039.55,Phone,Check,0,A384,South,0,922.95
Coupe,Toyota,Camry,2010,15,Used,20123.18,Petrol,59,Male,Driver,North,35,0,31,Comprehensive,C100045,2019-01-04 14:22:44,4845.08,Accident,Minor,3,1,3031.11,500.0,Online,Bank Transfer,1,A259,Central,0,1563.04
Van,Ford,Escape,2004,21,Used,25429.92,Diesel,74,Female,Lawyer,West,42,3,41,Collision,C100046,2021-01-14 16:16:02,6514.24,Theft,Minor,8,1,5823.42,4385.24,In-Person,Cash,1,A320,North,0,2201.76
Sedan,Honda,Accord,2016,9,Used,7174.57,Hybrid,66,Male,Unemployed,North,50,1,47,Third-party,C100047,2019-03-26 07:45:58,5723.05,Fire,Minor,6,0,6495.35,4694.7,Phone,Cash,0,A881,South,0,721.8
Sedan,Toyota,Corolla,2021,4,Used,37115.39,Electric,51,Male,Engineer,East,28,1,28,Comprehensive,C100048,2018-07-09 10:56:20,4520.18,Accident,Major,3,1,3211.85,2993.36,Online,Check,1,A444,West,0,2210.35
Coupe,Honda,Civic,2006,19,Used,34046.42,Electric,43,Male,Lawyer,West,6,1,4,Comprehensive,C100049,2021-11-16 14:55:01,7647.04,Accident,Major,1,1,3007.34,2486.44,In-Person,Check,0,A204,Central,0,2414.34
Convertible,Hyundai,Elantra,2009,16,Used,13814.28,Electric,19,Male,Unemployed,Central,12,2,11,Collision,C100050,2023-12-10 19:58:02,5341.53,Theft,Minor,2,0,6705.63,1294.92,In-Person,Bank Transfer,1,A194,South,0,874.2
Coupe,Ford,Escape,2010,15,Used,31677.91,Hybrid,73,Female,Doctor,East,44,1,44,Collision,C100051,2019-08-21 22:29:44,4459.87,Fire,Minor,5,0,7809.22,2229.24,In-Person,Check,1,A489,East,1,2807.86
SUV,Ford,F-150,2002,23,New,26856.58,Hybrid,53,Male,Engineer,West,52,2,52,Third-party,C100052,2019-09-09 04:24:39,6694.69,Accident,Total Loss,2,0,2023.92,5439.62,Phone,Cash,1,A199,North,0,1444.16
Convertible,Toyota,Corolla,2019,6,Used,16484.6,Petrol,24,Female,Lawyer,East,22,3,21,Collision,C100053,2023-09-20 15:54:28,4165.65,Vandalism,Minor,5,1,6368.44,4950.81,Online,Check,1,A467,North,0,1097.57
Convertible,Ford,Escape,2009,16,Used,15145.18,Diesel,69,Female,Lawyer,East,49,0,45,Third-party,C100054,2020-11-22 08:20:43,4404.19,Accident,Minor,4,1,5232.18,3918.28,In-Person,Bank Transfer,0,A967,North,0,1210.79
Van,Mercedes,C-Class,2009,16,Damaged,15750.2,Electric,53,Male,Teacher,East,56,1,56,Third-party,C100055,2019-07-01 20:58:27,6959.38,Fire,Minor,2,1,7129.81,5433.21,Phone,Check,1,A452,West,0,896.51
Convertible,Ford,Focus,2013,12,Used,42610.95,Electric,57,Male,Engineer,Central,24,0,20,Third-party,C100056,2021-06-15 18:21:52,6766.02,Theft,Minor,3,1,2353.94,2339.86,Online,Cash,1,A718,North,0,2998.91
Van,Honda,CR-V,2011,14,Used,30880.96,Petrol,31,Male,Engineer,East,40,2,36,Third-party,C100057,2021-05-03 22:22:44,4317.91,Accident,Major,6,1,7885.89,5370.26,Phone,Cash,1,A370,North,0,1279.4
Truck,Honda,Civic,2014,11,New,18377.82,Petrol,44,Female,Doctor,Central,44,1,42,Comprehensive,C100058,2018-05-19 23:41:13,2044.07,Vandalism,Minor,3,1,4390.95,3601.69,Online,Check,0,A926,East,0,1001.87
Van,Honda,Civic,2009,16,Used,19068.62,Diesel,43,Male,Unemployed,South,12,0,11,Comprehensive,C100059,2019-02-20 05:57:51,3512.57,Accident,Total Loss,2,0,2015.08,7476.59,Phone,Cash,0,A144,South,0,1806.85
Convertible,Honda,CR-V,2009,16,Used,26779.59,Electric,37,Female,Doctor,East,36,2,33,Comprehensive,C100060,2021-01-30 11:17:23,7180.13,Accident,Minor,2,1,2746.19,5352.37,Phone,Bank Transfer,1,A847,East,0,2034.72
Truck,Mercedes,C-Class,2018,7,Used,26429.15,Hybrid,52,Male,Engineer,North,29,1,26,Third-party,C100061,2022-07-08 11:50:06,6871.12,Theft,Minor,3,1,5153.61,2309.99,Phone,Bank Transfer,1,A570,West,0,2367.25
Truck,BMW,X3,2000,25,Used,12344.99,Hybrid,28,Male,Teacher,Central,25,2,23,Comprehensive,C100062,2020-12-23 22:54:15,6416.86,Accident,Minor,1,0,6285.6,7474.79,In-Person,Bank Transfer,1,A649,East,0,1068.6
SUV,Hyundai,Sonata,2009,16,Used,22380.31,Hybrid,43,Female,Teacher,South,11,2,10,Comprehensive,C100063,2021-12-24 04:43:13,3926.93,Fire,Minor,6,0,500.0,7846.27,Online,Check,1,A227,North,0,1797.2
Coupe,Toyota,Corolla,2001,24,Used,15579.65,Electric,74,Male,Unemployed,Central,56,2,52,Collision,C100064,2023-12-15 18:17:18,7254.95,Theft,Major,1,1,3582.17,6782.8,Phone,Bank Transfer,1,A487,North,0,1148.24
Convertible,Honda,Civic,2016,9,Used,21217.6,Hybrid,52,Male,Doctor,East,0,4,0,Third-party,C100065,2020-02-17 02:44:39,7702.3,Accident,Minor,2,0,1938.04,1749.98,In-Person,Cash,1,A180,East,0,1874.56
Sedan,Ford,Escape,2006,19,Damaged,19615.89,Electric,22,Male,Driver,Central,17,2,13,Collision,C100066,2018-12-27 03:25:34,7190.1,Accident,Major,3,1,6341.36,5735.55,Online,Cash,0,A665,East,0,1123.65
Coupe,Honda,CR-V,2006,19,Used,28141.16,Hybrid,33,Female,Lawyer,West,20,2,17,Collision,C100067,2020-05-04 16:23:58,5695.61,Theft,Major,2,0,7524.78,1043.48,Phone,Bank Transfer,1,A400,East,1,1646.09
Convertible,Ford,Escape,2019,6,Used,17853.78,Electric,28,Female,Doctor,West,52,0,49,Third-party,C100068,2018-09-14 16:52:09,7936.31,Fire,Minor,3,1,6235.21,4925.65,Online,Bank Transfer,1,A949,West,0,1278.21
Sedan,Hyundai,Sonata,2008,17,New,20946.54,Electric,50,Male,Teacher,North,53,1,50,Third-party,C100069,2019-07-31 05:42:32,3514.71,Theft,Minor,3,1,5265.62,4361.0,In-Person,Cash,1,A743,South,0,962.48
Coupe,Hyundai,Elantra,2021,4,Used,4975.27,Hybrid,26,Female,Engineer,Central,23,5,23,Comprehensive,C100070,2018-10-26 06:39:44,7872.59,Fire,Minor,4,1,741.74,3016.39,Online,Check,1,A733,North,0,522.18
SUV,Hyundai,Tucson,2001,24,Damaged,22589.22,Hybrid,39,Female,Teacher,East,16,1,14,Comprehensive,C100071,2021-10-10 12:23:21,3519.22,Theft,Minor,6,1,500.0,1580.2,In-Person,Cash,1,A982,North,0,1156.09
Convertible,Ford,Escape,2013,12,Used,13771.83,Diesel,22,Male,Engineer,East,41,2,38,Comprehensive,C100072,2018-08-08 05:56:30,5893.54,Accident,Major,4,1,3368.68,3330.67,Phone,Cash,0,A470,West,0,1320.23
Coupe,Honda,Accord,2016,9,Used,7862.92,Electric,37,Female,Doctor,West,8,3,8,Collision,C100073,2019-03-10 11:27:24,2554.75,Fire,Major,5,1,5525.05,5107.36,Online,Cash,1,A691,North,0,545.12
SUV,Hyundai,Tucson,2000,25,Damaged,29032.91,Petrol,73,Male,Lawyer,Central,51,1,48,Comprehensive,C100074,2022-06-30 20:53:29,2867.72,Accident,Minor,6,1,5317.72,5473.98,Phone,Check,0,A296,South,0,1722.17
Sedan,Mercedes,GLA,2008,17,New,19665.85,Electric,60,Female,Unemployed,East,39,0,39,Third-party,C100075,2021-10-09 17:44:16,3004.9,Accident,Minor,2,1,500.0,4645.91,In-Person,Check,0,A821,East,0,1131.59
Van,Ford,Focus,2019,6,Used,3382.73,Hybrid,51,Male,Lawyer,South,27,1,24,Collision,C100076,2019-04-25 00:09:48,6811.9,Vandalism,Minor,5,0,1319.47,3855.81,Online,Cash,0,A171,East,0,430.6
Convertible,Ford,Focus,2020,5,Used,13731.01,Electric,47,Female,Doctor,East,14,2,14,Collision,C100077,2018-02-02 22:23:48,6016.97,Vandalism,Minor,1,1,4487.99,3757.78,Online,Cash,1,A146,West,0,1259.98
Truck,Honda,Accord,2018,7,Used,20040.01,Electric,27,Female,Lawyer,Central,12,0,12,Third-party,C100078,2021-12-21 08:22:00,3830.32,Theft,Minor,2,0,4478.73,8026.4,Phone,Cash,1,A777,East,0,1489.86
Truck,Ford,Focus,2003,22,New,20277.99,Electric,54,Male,Lawyer,West,27,3,26,Collision,C100079,2020-09-06 16:58:34,8241.4,Vandalism,Minor,3,1,5341.43,4686.95,Phone,Bank Transfer,0,A333,South,0,1748.95
SUV,Ford,Focus,2007,18,Used,16004.75,Electric,49,Male,Unemployed,South,52,1,49,Third-party,C100080,2022-02-19 03:07:01,3767.62,Theft,Major,2,0,5069.67,1045.8,Online,Bank Transfer,1,A891,Central,0,1443.0
Van,Hyundai,Sonata,2012,13,Used,3000.0,Diesel,41,Female,Driver,East,16,1,14,Collision,C100081,2019-03-12 16:06:53,5670.52,Accident,Minor,1,0,3527.17,5616.13,Online,Cash,1,A396,North,0,486.08
Truck,Honda,Civic,2003,22,Used,15584.7,Petrol,34,Male,Driver,North,8,1,5,Third-party,C100082,2021-12-15 03:24:04,6021.84,Accident,Major,5,1,3206.22,3340.01,Phone,Cash,0,A181,North,0,1243.28
Truck,Hyundai,Elantra,2008,17,Used,28568.27,Diesel,61,Male,Driver,North,55,4,53,Third-party,C100083,2020-10-28 18:27:02,5501.43,Theft,Major,4,0,3101.37,4765.26,In-Person,Cash,1,A975,North,0,1322.79
Convertible,Hyundai,Elantra,2008,17,Used,31219.16,Petrol,20,Male,Engineer,West,20,2,20,Comprehensive,C100084,2018-10-01 12:30:31,2044.88,Fire,Minor,4,1,2885.83,3961.64,Phone,Cash,1,A338,South,0,1631.82
Truck,Honda,Civic,2021,4,New,15140.07,Petrol,56,Male,Driver,South,29,2,25,Comprehensive,C100085,2023-06-01 09:18:27,5313.96,Fire,Major,1,1,500.0,3488.11,In-Person,Check,1,A987,East,0,1366.74
Sedan,Toyota,Camry,2017,8,New,35066.67,Petrol,60,Male,Doctor,North,10,1,9,Collision,C100086,2021-01-05 05:33:02,1610.05,Vandalism,Minor,5,0,4656.29,3880.78,Phone,Cash,1,A203,East,0,3105.07
SUV,Hyundai,Sonata,2011,14,Used,7063.91,Hybrid,60,Female,Unemployed,North,29,1,28,Comprehensive,C100087,2018-12-21 00:37:29,7405.92,Vandalism,Major,1,1,3447.02,4981.12,In-Person,Cash,1,A489,West,0,799.72
Coupe,Mercedes,GLA,2009,16,Damaged,13519.75,Electric,43,Female,Driver,East,35,2,34,Collision,C100088,2022-02-11 04:34:05,3319.42,Theft,Minor,2,1,3819.53,4637.06,In-Person,Check,0,A384,West,0,708.28
Truck,Mercedes,GLA,2010,15,Damaged,27131.97,Diesel,29,Female,Unemployed,Central,55,0,53,Third-party,C100089,2020-09-01 16:39:13,4944.48,Theft,Minor,4,1,6654.99,4329.52,Online,Bank Transfer,1,A564,East,0,2432.92
Convertible,Ford,Focus,2006,19,Used,25872.44,Petrol,54,Male,Doctor,East,24,1,24,Comprehensive,C100090,2018-03-14 06:36:33,5352.05,Vandalism,Minor,2,1,1874.73,1916.49,Phone,Cash,1,A750,North,0,1649.11
Coupe,Mercedes,E-Class,2008,17,New,19923.05,Hybrid,59,Female,Driver,East,6,0,4,Third-party,C100091,2018-12-26 03:34:55,4870.02,Theft,Total Loss,3,0,7153.99,5664.21,Phone,Bank Transfer,1,A954,West,0,1325.25
Sedan,Ford,F-150,2005,20,Used,11046.99,Petrol,74,Male,Lawyer,West,19,3,15,Third-party,C100092,2018-04-01 04:21:35,2525.68,Vandalism,Major,4,1,3238.45,4842.65,Online,Bank Transfer,0,A473,East,0,827.4
Coupe,Toyota,Camry,2018,7,Used,11025.62,Hybrid,29,Female,Driver,East,54,1,53,Collision,C100093,2019-02-03 20:34:54,6906.1,Fire,Major,2,1,3988.67,5004.98,In-Person,Bank Transfer,1,A266,Central,0,703.86
Truck,Honda,CR-V,2015,10,Used,14194.53,Hybrid,63,Male,Doctor,South,53,1,51,Third-party,C100094,2020-01-22 10:17:50,5171.18,Theft,Major,6,0,2616.54,7508.7,Online,Bank Transfer,1,A479,West,0,1243.64
SUV,Honda,Accord,2014,11,Used,11373.27,Electric,50,Female,Doctor,South,34,2,30,Collision,C100095,2022-06-06 01:23:50,4524.05,Accident,Minor,3,1,3755.02,6079.14,In-Person,Check,1,A463,West,0,1042.78
SUV,Honda,Civic,2006,19,Damaged,21045.63,Electric,44,Female,Unemployed,Central,9,1,6,Collision,C100096,2023-07-05 15:29:42,5385.29,Accident,Minor,5,0,3963.88,3219.84,Phone,Check,1,A314,North,0,1822.34
SUV,Mercedes,C-Class,2015,10,Used,19261.86,Diesel,31,Female,Doctor,North,34,0,30,Third-party,C100097,2019-01-03 21:43:07,6903.44,Fire,Minor,4,1,5394.5,5523.29,Phone,Bank Transfer,0,A786,West,0,1699.49
Truck,Toyota,RAV4,2004,21,Used,10709.11,Petrol,24,Male,Driver,North,0,0,0,Collision,C100098,2018-01-21 19:01:22,8117.28,Vandalism,Minor,3,1,3142.36,4266.29,Phone,Bank Transfer,1,A373,Central,0,1031.95
Sedan,Mercedes,GLA,2015,10,New,17160.94,Petrol,59,Male,Engineer,Central,13,0,13,Comprehensive,C100099,2019-06-28 00:41:24,4349.37,Theft,Minor,2,0,2336.9,1104.97,In-Person,Bank Transfer,1,A818,East,1,977.19
Van,Mercedes,GLA,2000,25,Used,3000.0,Petrol,61,Female,Doctor,Central,44,2,42,Third-party,C100100,2023-03-04 05:37:20,7502.37,Fire,Total Loss,3,1,6382.23,2665.94,In-Person,Bank Transfer,1,A799,West,0,539.59
Coupe,Toyota,Corolla,2018,7,Used,22713.76,Hybrid,55,Male,Unemployed,East,4,1,2,Comprehensive,C100101,2023-11-30 03:31:08,5062.46,Vandalism,Minor,4,0,6816.51,3519.22,In-Person,Check,1,A763,North,0,1415.19
SUV,Toyota,Corolla,2004,21,Used,25733.8,Diesel,65,Female,Engineer,West,39,1,38,Third-party,C100102,2023-02-18 13:33:42,4071.89,Theft,Minor,4,1,3670.12,1629.97,Phone,Bank Transfer,0,A173,Central,0,1314.68
Sedan,Toyota,RAV4,2006,19,Used,12705.52,Electric,59,Female,Driver,North,43,0,39,Comprehensive,C100103,2022-09-29 21:47:41,5339.11,Theft,Minor,2,0,2113.38,3454.4,Phone,Cash,1,A723,West,0,993.16
Convertible,Toyota,RAV4,2018,7,New,13708.99,Electric,69,Female,Unemployed,North,37,1,33,Third-party,C100104,2023-04-04 06:28:27,1669.31,Fire,Minor,6,1,986.0,4992.8,Online,Check,1,A750,North,0,1281.73
Convertible,Honda,Civic,2021,4,Used,22063.11,Diesel,61,Female,Engineer,Central,55,2,51,Collision,C100105,2018-05-14 12:43:14,9313.95,Theft,Major,6,1,6709.33,4891.66,In-Person,Cash,1,A275,North,0,1685.15
Sedan,BMW,3 Series,2004,21,Used,20850.13,Electric,44,Female,Engineer,Central,54,1,51,Comprehensive,C100106,2023-09-30 13:56:17,10851.13,Theft,Minor,3,0,4520.62,4662.82,Phone,Check,1,A646,North,0,1574.12
Convertible,BMW,3 Series,2016,9,Used,26184.95,Petrol,27,Female,Doctor,North,33,1,29,Third-party,C100107,2022-03-13 20:25:06,5422.09,Vandalism,Minor,5,1,6957.79,3214.39,Phone,Check,1,A846,West,0,1861.92
Convertible,Toyota,RAV4,2021,4,Used,13786.56,Hybrid,59,Male,Unemployed,North,23,1,19,Comprehensive,C100108,2018-12-12 10:19:54,3636.96,Theft,Minor,3,0,4779.02,3230.4,Online,Bank Transfer,1,A350,East,0,1222.5
SUV,BMW,X3,2007,18,Used,14715.54,Petrol,71,Male,Driver,East,3,1,0,Third-party,C100109,2019-11-25 04:29:14,6472.74,Theft,Total Loss,5,0,3475.19,2708.05,Online,Bank Transfer,1,A267,North,0,949.63
Truck,BMW,X3,2000,25,New,18234.41,Diesel,60,Female,Doctor,North,26,1,25,Collision,C100110,2018-02-06 00:37:13,2625.11,Vandalism,Minor,2,1,7815.51,4967.17,In-Person,Check,1,A573,Central,0,1104.53
